COUNTRIES of the WORLD - by population 2019 - from www.worldometers.info - (continent & region added),,,,,,,,,,,,
LifeExpectancy from 2015 (CIA World FactBook) -  www.infoplease.com/world/health-and-social-statistics (with some modifications),,,,,,,,,,,,
rank,country,continent,region,population,life expectancy,net change,density,land area,migrants,fert. rate,med. age,urban pop
,,,,(est. in 2019),,,(pop/sq km),(sq km),(net),,,
201,Antigua and Barbuda,North America,Caribbean,97118,76.3,832,221,440,0,2,34,0.26
202,Isle of Man,Europe,British Islands,84584,81.1,507,148,570,,N.A.,N.A.,0.53
203,Andorra,Europe,Southern Europe,77142,82.7,136,164,470,,N.A.,N.A.,0.88
204,Dominica,North America,Caribbean,71808,76.8,183,96,750,,N.A.,N.A.,0.74
205,Cayman Islands,North America,Caribbean,64948,81.1,774,271,240,,N.A.,N.A.,0.97
206,Bermuda,North America,Caribbean,62506,81.2,-250,"1,250",50,,N.A.,N.A.,0.97
207,Marshall Islands,Oceania,Micronesia,58791,72.8,378,327,180,,N.A.,N.A.,0.7
208,Northern Mariana Islands,Oceania,Micronesia,57216,77.8,334,124,460,,N.A.,N.A.,0.89
209,Greenland,Europe,Nordic Countries,56672,72.1,108,0,410450,,N.A.,N.A.,0.87
210,American Samoa,Oceania,Polynesia,55312,75.1,-153,277,200,,N.A.,N.A.,0.88
211,Saint Kitts & Nevis,North America,Caribbean,52823,75.5,382,203,260,,N.A.,N.A.,0.33
212,Faroe Islands,Europe,Nordic Countries,48678,80.2,181,35,1396,,N.A.,N.A.,0.43
213,Sint Maarten,North America,Caribbean,42388,77.6,448,"1,247",34,,N.A.,N.A.,0.97
214,Monaco,Europe,Western Europe,38964,89.5,282,"26,150",1,,N.A.,N.A.,N.A.
215,Turks and Caicos,North America,Caribbean,38191,79.7,526,40,950,,N.A.,N.A.,0.89
216,Liechtenstein,Europe,Western Europe,38019,81.8,109,238,160,,N.A.,N.A.,0.15
217,San Marino,Europe,Southern Europe,33860,83.2,75,564,60,,N.A.,N.A.,0.97
218,Gibraltar,Europe,Southern Europe,33701,79.3,-17,"3,370",10,,N.A.,N.A.,N.A.
219,British Virgin Islands,North America,Caribbean,30030,78.5,228,200,150,,N.A.,N.A.,0.52
220,Caribbean Netherlands,North America,Caribbean,25979,N.A.,268,79,328,,N.A.,N.A.,0.75
221,Palau,Oceania,Micronesia,18008,72.9,101,39,460,,N.A.,N.A.,0.99
222,Cook Islands,Oceania,Polynesia,17548,75.6,30,73,240,,N.A.,N.A.,0.75
223,Anguilla,North America,Caribbean,14869,81.3,138,165,90,,N.A.,N.A.,N.A.
224,Tuvalu,Oceania,Polynesia,11646,66.2,138,388,30,,N.A.,N.A.,0.62
225,Wallis & Futuna,Oceania,Polynesia,11432,79.6,-229,82,140,,N.A.,N.A.,0
226,Nauru,Oceania,Micronesia,10756,66.8,86,538,20,,N.A.,N.A.,N.A.
227,Saint Helena,Africa,Western Africa,6059,79.4,24,16,390,,N.A.,N.A.,0.27
228,Saint Pierre & Miquelon,North America,North America,5822,80.4,-27,25,230,,N.A.,N.A.,0.99
229,Montserrat,North America,Caribbean,4989,74.1,-4,50,100,,N.A.,N.A.,0.1
230,Falkland Islands,South America,South America,3377,N.A.,143,0,12170,,N.A.,N.A.,0.68
231,Niue,Oceania,Polynesia,1615,N.A.,-5,6,260,,N.A.,N.A.,0.46
232,Tokelau,Oceania,Polynesia,1340,N.A.,21,134,10,,N.A.,N.A.,0
233,Holy See,Europe,Southern Europe,799,N.A.,-2,"1,998",0,,N.A.,N.A.,N.A.
